id,screen_id,name,format,placement,installation,owner_id,owner,city,address,lat,lon,width_mm,height_mm,width_px,height_px,phys_width_px,phys_height_px,sspProvider,sspTypes,minBid,ots,grp,meta_format,estimated_ots,interpolated_ots,ssp_ots,image_url,image_preview
44613,MSBB18976A1,MSBB18976A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Ленинградское шоссе   5к7, 170 м до съезда на Волоколамское шоссе",55.8098881,37.50494242,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.68,48.00607851,0.58,BILLBOARD,20.49848502,48.00607851,59,https://images.russoutdoor.ru/panelFotos/244/2431985.jpg,https://images.russoutdoor.ru/panelFotos/244/2431985.jpg
44612,EKBB30062A1,EKBB30062A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Екатеринбург,"Черепанова ул. (н-в дома 23),  Fix price, автосервис Форд96, автосервис Франсавто ",56.85767765,60.56466848,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.02,12.85353073,0.83,BILLBOARD,8.478541507,12.85353073,10,https://images.russoutdoor.ru/panelFotos/257/2567025.jpg,https://images.russoutdoor.ru/panelFotos/257/2567025.jpg
44611,MSBB00809A1,MSBB00809A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Профсоюзная ул. 100, 250 м до Х с ул. Миклухо-Маклая, (м. ""Беляево"")",55.64465046,37.52739736,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",3.96,43.191575,0.49,BILLBOARD,20.49857362,43.191575,50,https://images.russoutdoor.ru/panelFotos/244/2431874.jpg,https://images.russoutdoor.ru/panelFotos/244/2431874.jpg
44610,MSBB18709A1,MSBB18709A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,Энтузиастов шоссе  32с34,55.75308031,37.72610657,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.14,44.08467976,0.79,BILLBOARD,20.49855718,44.08467976,81,https://images.russoutdoor.ru/panelFotos/244/2431978.jpg,https://images.russoutdoor.ru/panelFotos/244/2431978.jpg
44609,SRBB01312A1,SRBB01312A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Саратов,"50 Лет Октября пр-т , Трофимовский мост (АЗС)",51.59109882,45.94888092,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.8,26.93051186,2.43,BILLBOARD,7.137449547,26.93051186,16,https://images.russoutdoor.ru/panelFotos/240/2398446.jpg,https://images.russoutdoor.ru/panelFotos/240/2398446.jpg
44608,MSBB01824A1,MSBB01824A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"ТТК, внешняя, съезд на Хорошевское шоссе, (м. ""Беговая"")",55.7741843,37.55077349,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",6.3,75.2093647,0.83,BILLBOARD,20.4979844,75.2093647,85,https://images.russoutdoor.ru/panelFotos/244/2431889.jpg,https://images.russoutdoor.ru/panelFotos/244/2431889.jpg
44607,NSBB30024A1,NSBB30024A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Новосибирск,"Кропоткина ул., д.126/1 ",55.05648611,82.93223611,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.5,23.72229692,0.83,BILLBOARD,14.35349631,23.72229692,11,https://images.russoutdoor.ru/panelFotos/257/2568303.jpg,https://images.russoutdoor.ru/panelFotos/257/2568303.jpg
44606,MSBB04333A1,MSBB04333A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Ленинградский проспект  68, Х с ул. Лизы Чайкиной",55.80309448,37.52398369,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",9.45,99.37824398,1.04,BILLBOARD,20.49753962,99.37824398,107,https://images.russoutdoor.ru/panelFotos/244/2431893.jpg,https://images.russoutdoor.ru/panelFotos/244/2431893.jpg
44605,MSBB19636A1,MSBB19636A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Ленинский проспект 123 напротив, 120 м до съезда с проспекта Вернадского, (м. ""Тропарево"")",55.64766284,37.4778316,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",9,95.52013753,1.06,BILLBOARD,20.49761062,95.52013753,109,https://images.russoutdoor.ru/panelFotos/243/2429090.jpg,https://images.russoutdoor.ru/panelFotos/243/2429090.jpg
44604,IRBB00383A1,IRBB00383A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Иркутск,"Маяковского ул.   2, Х с ул. Джамбула, поз. 3",52.28803508,104.2581307,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.92,41.07900103,7.25,BILLBOARD,8.093593263,41.07900103,34,https://images.russoutdoor.ru/panelFotos/244/2431346.jpg,https://images.russoutdoor.ru/panelFotos/244/2431346.jpg
44603,MSBB19724B1,MSBB19724B1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Кутузовский проспект  37, съезд на ТТК, (м. ""Кутузовская"")",55.73951954,37.53338931,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",6.57,78.87847002,0.83,BILLBOARD,20.49791688,78.87847002,85,https://images.russoutdoor.ru/panelFotos/145/1444348.jpg,https://images.russoutdoor.ru/panelFotos/145/1444348.jpg
44602,EKBB30004A1,EKBB30004A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Екатеринбург,"Объездная дорога - Чусовской тракт, ТРЦ ""Мега"", садовый и банный ТЦ",56.82169952,60.49931442,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",0.72,9.87505673,0.69,BILLBOARD,8.478870426,9.87505673,8,https://images.russoutdoor.ru/panelFotos/257/2566828.jpg,https://images.russoutdoor.ru/panelFotos/257/2566828.jpg
44601,MSBB00993A1,MSBB00993A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Андропова проспект, четная сторона, съезд на ул. Трофимова",55.7012983,37.6670251,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",2.61,30.38326918,0.4,BILLBOARD,20.49880933,30.38326918,41,https://images.russoutdoor.ru/panelFotos/244/2431875.jpg,https://images.russoutdoor.ru/panelFotos/244/2431875.jpg
44600,MSBB14276A1,MSBB14276A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,Волоколамское шоссе  43с1 напротив,55.81459709,37.4699691,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.95,57.35469386,0.64,BILLBOARD,20.49831298,57.35469386,66,https://images.russoutdoor.ru/panelFotos/244/2432223.jpg,https://images.russoutdoor.ru/panelFotos/244/2432223.jpg
44599,MSBB18904A1,MSBB18904A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,Ленинградское шоссе  67,55.86848653,37.46074496,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",7.2,73.78611275,0.79,BILLBOARD,20.49801059,73.78611275,81,https://images.russoutdoor.ru/panelFotos/244/2431982.jpg,https://images.russoutdoor.ru/panelFotos/244/2431982.jpg
44598,MSBB05929A1,MSBB05929A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Профсоюзная ул.  79, Х с ул. Генерала Антонова, (светофор)",55.64666861,37.5296858,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",4.05,45.92752763,0.49,BILLBOARD,20.49852327,45.92752763,51,https://images.russoutdoor.ru/panelFotos/244/2431956.jpg,https://images.russoutdoor.ru/panelFotos/244/2431956.jpg
44597,MSBB19579A1,MSBB19579A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"Боровское шоссе  33 напротив, до Х с ул. Чоботовская, (светофор)",55.64227681,37.35920068,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",6.57,70.3220404,0.72,BILLBOARD,20.49807434,70.3220404,74,https://images.russoutdoor.ru/panelFotos/245/2442868.jpg,https://images.russoutdoor.ru/panelFotos/245/2442868.jpg
44596,MSBB08324A1,MSBB08324A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Москва,"ТТК, внутренняя, Автозаводская ул.  17к4, ЦРП",55.70329215,37.65578449,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",5.49,61.72899076,0.68,BILLBOARD,20.49823248,61.72899076,70,https://images.russoutdoor.ru/panelFotos/244/2431958.jpg,https://images.russoutdoor.ru/panelFotos/244/2431958.jpg
44568,307A,"г. Люберцы_Октябрьский пр-т, д.125_А",SUPERSITE,OUTDOOR,STATIC,22,Мособлреклама,Люберцы,"г. Люберцы, Октябрьский пр-т, д.125, сторона А",55.682591,37.886438,12000,4000,1440,480,1440,480,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",2.497,43.80220432,,SUPERSITE,43.80220432,,,https://play.ru.cityscreen.cloud/files/organizations/73/common/gh_Liubiertsy_Oktiabr_skii_pr_t_d_125_A_2n2m1t.jpg,https://play.ru.cityscreen.cloud/files/organizations/73/common/gh_Liubiertsy_Oktiabr_skii_pr_t_d_125_A_2n2m1t.thumbnail.jpg
44567,307B,"г. Люберцы_Октябрьский пр-т, д.125_Б",SUPERSITE,OUTDOOR,STATIC,22,Мособлреклама,Люберцы,"г. Люберцы, Октябрьский пр-т, д.125, сторона Б из Москвы",55.682591,37.886438,12000,4000,1440,480,1440,480,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",2.497,30.65346172,,SUPERSITE,43.87945666,30.65346172,,https://play.ru.cityscreen.cloud/files/organizations/73/common/gh_Liubiertsy_Oktiabr_skii_pr_t_d_125_B_0j1o2t.jpg,https://play.ru.cityscreen.cloud/files/organizations/73/common/gh_Liubiertsy_Oktiabr_skii_pr_t_d_125_B_0j1o2t.thumbnail.jpg
